airline,carrier_name,src,dst,dst_country,region,equipment,aircraft_name,eis_year,type_vintage_age,body,is_widebody,seats,distance_km,dest_connectivity,is_africa
AF,Air France,ABE,ATL,United States,North America,CRJ,Bombardier CRJ-200,1992,32,regional_jet,0,50,1113.7519369386584,911,0
AF,Air France,ABJ,CDG,France,Europe,772,Boeing 777-200,1995,29,widebody,1,314,4903.2126932143765,517,0
AF,Air France,ABQ,ATL,United States,North America,757,Boeing 757-200,1983,41,narrowbody,0,200,2038.333296863863,911,0
AF,Air France,ABQ,ATL,United States,North America,320,Airbus A320,1988,36,narrowbody,0,150,2038.333296863863,911,0
AF,Air France,ABV,CDG,France,Europe,332,Airbus A330-200,1998,26,widebody,1,247,4470.1300128505545,517,0
AF,Air France,ABV,PHC,Nigeria,Africa,332,Airbus A330-200,1998,26,widebody,1,247,445.1590343192692,8,1
AF,Air France,ABY,ATL,United States,North America,CRJ,Bombardier CRJ-200,1992,32,regional_jet,0,50,234.66539121322768,911,0
AF,Air France,ABZ,CDG,France,Europe,E70,Embraer 170,2004,20,regional_jet,0,76,963.5818608445471,517,0
AF,Air France,AEX,ATL,United States,North America,CRJ,Bombardier CRJ-200,1992,32,regional_jet,0,50,803.641253202455,911,0
AF,Air France,AGP,CDG,France,Europe,738,Boeing 737-800,1998,26,narrowbody,0,162,1485.8180661695942,517,0
AF,Air France,AGS,ATL,United States,North America,CRJ,Bombardier CRJ-200,1992,32,regional_jet,0,50,230.3385221563136,911,0
AF,Air France,AGS,ATL,United States,North America,717,Boeing 717,1999,25,narrowbody,0,106,230.3385221563136,911,0
AF,Air France,AJA,LGG,Belgium,Europe,320,Airbus A320,1988,36,narrowbody,0,150,1002.4615902163572,8,0
AF,Air France,AJA,LYS,France,Europe,320,Airbus A320,1988,36,narrowbody,0,150,517.4295941758219,140,0
AF,Air France,AJA,MRS,France,Europe,320,Airbus A320,1988,36,narrowbody,0,150,337.76273478913697,129,0
AF,Air France,AJA,MRS,France,Europe,AT7,ATR 72,1989,35,turboprop,0,70,337.76273478913697,129,0
AF,Air France,AJA,NCE,France,Europe,AT7,ATR 72,1989,35,turboprop,0,70,232.32835493983816,134,0
AF,Air France,AJA,NTE,France,Europe,320,Airbus A320,1988,36,narrowbody,0,150,1008.2645470427656,91,0
AF,Air France,AJA,ORY,France,Europe,321,Airbus A321,1994,30,narrowbody,0,185,906.9422322787123,203,0
AF,Air France,AJA,ORY,France,Europe,320,Airbus A320,1988,36,narrowbody,0,150,906.9422322787123,203,0
AF,Air France,AJA,ORY,France,Europe,319,Airbus A319,1996,28,narrowbody,0,124,906.9422322787123,203,0
AF,Air France,AJA,TLS,France,Europe,320,Airbus A320,1988,36,narrowbody,0,150,635.8294201155211,83,0
AF,Air France,ALB,ATL,United States,North America,CR9,Bombardier CRJ-900,2003,21,regional_jet,0,90,1372.141779651512,911,0
AF,Air France,ALB,ATL,United States,North America,M88,McDonnell Douglas MD-88,1987,37,narrowbody,0,150,1372.141779651512,911,0
AF,Air France,ALG,CDG,France,Europe,319,Airbus A319,1996,28,narrowbody,0,124,1371.1796814652766,517,0
AF,Air France,ALG,MRS,France,Europe,320,Airbus A320,1988,36,narrowbody,0,150,769.4774346760329,129,0
AF,Air France,ALG,MRS,France,Europe,319,Airbus A319,1996,28,narrowbody,0,124,769.4774346760329,129,0
AF,Air France,AMM,CDG,France,Europe,320,Airbus A320,1988,36,narrowbody,0,150,3381.238933447555,517,0
AF,Air France,AMS,AUH,United Arab Emirates,Asia,332,Airbus A330-200,1998,26,widebody,1,247,5191.564071367668,236,0
AF,Air France,AMS,BOD,France,Europe,E90,Embraer 190,2005,19,regional_jet,0,100,923.6920529628386,67,0
AF,Air France,AMS,BOD,France,Europe,73W,Boeing 737-700 (winglets),1998,26,narrowbody,0,143,923.6920529628386,67,0
AF,Air France,AMS,BOD,France,Europe,F70,Fokker 70,1994,30,regional_jet,0,79,923.6920529628386,67,0
AF,Air France,AMS,BSL,France,Europe,F70,Fokker 70,1994,30,regional_jet,0,79,560.6426157815108,94,0
AF,Air France,AMS,BSL,France,Europe,E90,Embraer 190,2005,19,regional_jet,0,100,560.6426157815108,94,0
AF,Air France,AMS,CDG,France,Europe,321,Airbus A321,1994,30,narrowbody,0,185,398.26978308829587,517,0
AF,Air France,AMS,CDG,France,Europe,320,Airbus A320,1988,36,narrowbody,0,150,398.26978308829587,517,0
AF,Air France,AMS,CDG,France,Europe,319,Airbus A319,1996,28,narrowbody,0,124,398.26978308829587,517,0
AF,Air France,AMS,CDG,France,Europe,318,Airbus A318,2003,21,narrowbody,0,107,398.26978308829587,517,0
AF,Air France,AMS,CDG,France,Europe,32A,Airbus A320 (sharklets),1988,36,narrowbody,0,150,398.26978308829587,517,0
AF,Air France,AMS,CFE,France,Europe,ER4,Embraer ERJ-145,1996,28,regional_jet,0,50,734.4065638802323,9,0
AF,Air France,AMS,DMM,Saudi Arabia,Asia,332,Airbus A330-200,1998,26,widebody,1,247,4704.766546321854,82,0
AF,Air France,AMS,DOH,Qatar,Asia,332,Airbus A330-200,1998,26,widebody,1,247,4923.0923048828745,188,0
AF,Air France,AMS,HRE,Zimbabwe,Africa,332,Airbus A330-200,1998,26,widebody,1,247,8214.553627357824,31,1
AF,Air France,AMS,JRO,Tanzania,Africa,332,Airbus A330-200,1998,26,widebody,1,247,6901.247433528279,21,1
AF,Air France,AMS,KGL,Rwanda,Africa,332,Airbus A330-200,1998,26,widebody,1,247,6486.878921716191,38,1
AF,Air France,AMS,KUL,Malaysia,Asia,772,Boeing 777-200,1995,29,widebody,1,314,10236.638950503195,257,0
AF,Air France,AMS,KWI,Kuwait,Asia,332,Airbus A330-200,1998,26,widebody,1,247,4355.279554852435,119,0
AF,Air France,AMS,LCY,United Kingdom,Europe,AR8,Avro RJ85 (BAe 146),1993,31,regional_jet,0,100,335.0673301551608,66,0
AF,Air France,AMS,LYS,France,Europe,F70,Fokker 70,1994,30,regional_jet,0,79,732.3646569525172,140,0
AF,Air France,AMS,MRS,France,Europe,319,Airbus A319,1996,28,narrowbody,0,124,986.8091147715683,129,0
AF,Air France,AMS,NCE,France,Europe,73W,Boeing 737-700 (winglets),1998,26,narrowbody,0,143,978.8644304917758,134,0
AF,Air France,AMS,NCE,France,Europe,E90,Embraer 190,2005,19,regional_jet,0,100,978.8644304917758,134,0
AF,Air France,AMS,NCE,France,Europe,73H,Boeing 737-800 (winglets),1998,26,narrowbody,0,162,978.8644304917758,134,0
AF,Air France,AMS,NTE,France,Europe,ER4,Embraer ERJ-145,1996,28,regional_jet,0,50,733.2666987433632,91,0
AF,Air France,AMS,SXB,France,Europe,ER4,Embraer ERJ-145,1996,28,regional_jet,0,50,465.6734807856442,35,0
AF,Air France,AMS,SXB,France,Europe,CR7,Bombardier CRJ-700,2001,23,regional_jet,0,70,465.6734807856442,35,0
AF,Air France,AMS,SXB,France,Europe,E70,Embraer 170,2004,20,regional_jet,0,76,465.6734807856442,35,0
AF,Air France,AMS,TLS,France,Europe,E90,Embraer 190,2005,19,regional_jet,0,100,997.4661996251601,83,0
AF,Air France,AMS,TPE,Taiwan,Asia,77W,Boeing 777-300ER,2004,20,widebody,1,365,9442.514489805226,263,0
AF,Air France,AMS,UIO,Ecuador,South America,772,Boeing 777-200,1995,29,widebody,1,314,9551.998748971982,39,0
AF,Air France,ANR,LCY,United Kingdom,Europe,F50,Fokker 50,1987,37,turboprop,0,56,307.8985957784923,66,0
AF,Air France,ARN,CDG,France,Europe,320,Airbus A320,1988,36,narrowbody,0,150,1539.1558006232403,517,0
AF,Air France,ARN,CDG,France,Europe,321,Airbus A321,1994,30,narrowbody,0,185,1539.1558006232403,517,0
AF,Air France,ARN,CDG,France,Europe,32A,Airbus A320 (sharklets),1988,36,narrowbody,0,150,1539.1558006232403,517,0
AF,Air France,ARN,CDG,France,Europe,319,Airbus A319,1996,28,narrowbody,0,124,1539.1558006232403,517,0
AF,Air France,ATH,CDG,France,Europe,32A,Airbus A320 (sharklets),1988,36,narrowbody,0,150,2108.652268711337,517,0
AF,Air France,ATH,CDG,France,Europe,319,Airbus A319,1996,28,narrowbody,0,124,2108.652268711337,517,0
AF,Air France,ATH,CDG,France,Europe,320,Airbus A320,1988,36,narrowbody,0,150,2108.652268711337,517,0
AF,Air France,ATH,CDG,France,Europe,321,Airbus A321,1994,30,narrowbody,0,185,2108.652268711337,517,0
AF,Air France,ATH,MRS,France,Europe,319,Airbus A319,1996,28,narrowbody,0,124,1688.4696976267583,129,0
AF,Air France,ATH,TLS,France,Europe,320,Airbus A320,1988,36,narrowbody,0,150,1996.3810737331041,83,0
AF,Air France,ATL,ABE,United States,North America,717,Boeing 717,1999,25,narrowbody,0,106,1113.7519369386584,13,0
AF,Air France,ATL,ABQ,United States,North America,757,Boeing 757-200,1983,41,narrowbody,0,200,2038.333296863863,41,0
AF,Air France,ATL,ABY,United States,North America,CRJ,Bombardier CRJ-200,1992,32,regional_jet,0,50,234.66539121322768,4,0
AF,Air France,ATL,AEX,United States,North America,CRJ,Bombardier CRJ-200,1992,32,regional_jet,0,50,803.641253202455,6,0
AF,Air France,ATL,AEX,United States,North America,CR9,Bombardier CRJ-900,2003,21,regional_jet,0,90,803.641253202455,6,0
AF,Air France,ATL,AGS,United States,North America,CRJ,Bombardier CRJ-200,1992,32,regional_jet,0,50,230.3385221563136,7,0
AF,Air France,ATL,AGS,United States,North America,M88,McDonnell Douglas MD-88,1987,37,narrowbody,0,150,230.3385221563136,7,0
AF,Air France,ATL,AGS,United States,North America,717,Boeing 717,1999,25,narrowbody,0,106,230.3385221563136,7,0
AF,Air France,ATL,ALB,United States,North America,M88,McDonnell Douglas MD-88,1987,37,narrowbody,0,150,1372.141779651512,29,0
AF,Air France,ATL,ATW,United States,North America,CR9,Bombardier CRJ-900,2003,21,regional_jet,0,90,1232.4561895554398,9,0
AF,Air France,ATL,AUS,United States,North America,M90,McDonnell Douglas MD-90,1995,29,narrowbody,0,158,1305.9912879785675,84,0
AF,Air France,ATL,AUS,United States,North America,M88,McDonnell Douglas MD-88,1987,37,narrowbody,0,150,1305.9912879785675,84,0
AF,Air France,ATL,AVL,United States,North America,CRJ,Bombardier CRJ-200,1992,32,regional_jet,0,50,264.35772692163215,12,0
AF,Air France,ATL,AVL,United States,North America,M88,McDonnell Douglas MD-88,1987,37,narrowbody,0,150,264.35772692163215,12,0
AF,Air France,ATL,AVP,United States,North America,CR7,Bombardier CRJ-700,2001,23,regional_jet,0,70,1149.092057252161,10,0
AF,Air France,ATL,BDL,United States,North America,M88,McDonnell Douglas MD-88,1987,37,narrowbody,0,150,1382.3194090292877,52,0
AF,Air France,ATL,BDL,United States,North America,73W,Boeing 737-700 (winglets),1998,26,narrowbody,0,143,1382.3194090292877,52,0
AF,Air France,ATL,BHM,United States,North America,M88,McDonnell Douglas MD-88,1987,37,narrowbody,0,150,215.52298129318808,35,0
AF,Air France,ATL,BMI,United States,North America,CR7,Bombardier CRJ-700,2001,23,regional_jet,0,70,858.2492516324287,12,0
AF,Air France,ATL,BMI,United States,North America,CR9,Bombardier CRJ-900,2003,21,regional_jet,0,90,858.2492516324287,12,0
AF,Air France,ATL,BNA,United States,North America,M88,McDonnell Douglas MD-88,1987,37,narrowbody,0,150,344.4330795074149,82,0
AF,Air France,ATL,BNA,United States,North America,319,Airbus A319,1996,28,narrowbody,0,124,344.4330795074149,82,0
AF,Air France,ATL,BNA,United States,North America,738,Boeing 737-800,1998,26,narrowbody,0,162,344.4330795074149,82,0
